d	n	beta_gamma_shape	sd_RE	Nm_lambda
14	208	0	0.55054958537221	1516
14	208	0	0.111403329763561	1516
14	208	0	0.239383418345824	1516
14	208	0	0.900868413271382	1516
14	208	0	0.633677044184878	1516
14	208	0	0.347647331189364	1516
14	208	0	0.586210585664958	1516
14	208	0	0.217813465511426	1516
14	208	0	0.366498526651412	1516
14	208	0	0.147241999162361	1516
14	208	0	0.512832500971854	1516
14	208	0	0.395306874997914	1516
14	208	0	0.755045076832175	1516
